<<<<<<< HEAD
Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),% Change,
BTC,3/4/14,666.1475,567.7,681.615,562.3025,17.34%,
BTC,3/5/14,660.84,666.1475,698.05,653.525,-0.80%,
BTC,3/6/14,662.0225,660.84,666.3275,643.525,0.18%,
BTC,3/7/14,651.285,662.0225,663.74,644.345,-1.62%,
BTC,3/8/14,612.33,651.285,653.98249,611.02,-5.98%,
BTC,3/9/14,611.1625,612.33,626.25,600.99249,-0.19%,
BTC,3/10/14,637.615,611.1625,644.8825,610.0675,4.33%,
BTC,3/11/14,626,637.615,642.5275,610.995,-1.82%,
BTC,3/12/14,633.74749,626,645.75,615.2725,1.24%,
BTC,3/13/14,631.755,633.74749,639.5375,627.3925,-0.31%,
BTC,3/14/14,636.41414,631.755,641.66999,631.315,0.74%,
BTC,3/15/14,628.18751,636.41414,636.75668,624.77166,-1.29%,
BTC,3/16/14,632.95333,628.18751,636,625.54183,0.76%,
BTC,3/17/14,630.34833,632.95333,635.24333,627.48,-0.41%,
BTC,3/18/14,617.24333,630.34833,630.77666,616.17333,-2.08%,
BTC,3/19/14,616.86665,617.24333,621.47168,599.75998,-0.06%,
BTC,3/20/14,601.015,616.86665,621.18353,601.00996,-2.57%,
BTC,3/21/14,581.33333,601.015,604.52831,579.55331,-3.27%,
BTC,3/22/14,570.36168,581.33333,605.15331,563.46166,-1.89%,
BTC,3/23/14,562.95333,570.36168,571.86663,550.60331,-1.30%,
BTC,3/24/14,557.16833,562.95333,570.33081,551.16331,-1.03%,
BTC,3/25/14,573.34998,557.16833,587.98666,552.12997,2.90%,
BTC,3/26/14,572.49161,573.34998,585.57499,570.43831,-0.15%,
BTC,3/27/14,570.54833,572.49161,589.95497,561.61165,-0.34%,
BTC,3/28/14,509.70665,570.54833,571.57667,471.01833,-10.66%,
BTC,3/29/14,499.24998,509.70665,525.16333,487.16333,-2.05%,
BTC,3/30/14,486.80845,499.24998,504.21231,483.5116,-2.49%,
BTC,3/31/14,472.4783,486.80845,486.80845,443.26166,-2.94%,
BTC,4/1/14,464.88,472.4783,472.4783,442.19166,-1.61%,
BTC,4/2/14,480.16581,464.88,500.64066,459.6783,3.29%,
BTC,4/3/14,427.87498,480.16581,494.98333,419.705,-10.89%,
BTC,4/4/14,432.99716,427.87498,456.34863,414.41333,1.20%,
BTC,4/5/14,453.87148,432.99716,455.99333,428.63,4.82%,
BTC,4/6/14,462.445,453.87148,465.63773,444.13629,1.89%,
BTC,4/7/14,456.46948,462.445,466.475,450.80566,-1.29%,
BTC,4/8/14,452.81,456.46948,458.925,443.71861,-0.80%,
BTC,4/9/14,450.48083,452.81,456.88188,446.71668,-0.51%,
BTC,4/10/14,426.98333,450.48083,453.06422,423.82189,-5.22%,
BTC,4/11/14,374.59166,426.98333,427.5385,344.22166,-12.27%,
BTC,4/12/14,438.24666,374.59166,438.24666,374.59166,16.99%,
BTC,4/13/14,423.51566,438.24666,438.91098,413.08833,-3.36%,
BTC,4/14/14,409.03166,423.51566,425.68516,394.1018,-3.42%,
BTC,4/15/14,455.28316,409.03166,470.95333,406.85585,11.31%,
BTC,4/16/14,517.09666,455.28316,524.80583,454.18166,13.58%,
BTC,4/17/14,522.455,517.09666,543.31749,493.08333,1.04%,
BTC,4/18/14,490.8785,522.455,529.29783,481.45501,-6.04%,
BTC,4/19/14,469.38332,490.8785,497.77333,468.16166,-4.38%,
BTC,4/20/14,507.80663,469.38332,511.76836,467.81668,8.19%,
BTC,4/21/14,505.09665,507.80663,510.83165,489.18038,-0.53%,
BTC,4/22/14,497.65001,505.09665,507.44998,488.875,-1.47%,
BTC,4/23/14,487.84,497.65001,498.59166,482.73666,-1.97%,
BTC,4/24/14,487.11333,487.84,489.32333,480.58666,-0.15%,
BTC,4/25/14,469.08816,487.11333,500.62333,468.98333,-3.70%,
BTC,4/26/14,448.77834,469.08816,472.48499,440.13883,-4.33%,
BTC,4/27/14,452.14829,448.77834,463.18666,448.50008,0.75%,
BTC,4/28/14,426.78166,452.14829,457.45584,423.40166,-5.61%,
BTC,4/29/14,432.60498,426.78166,445.73085,421.07659,1.36%,
BTC,4/30/14,444.85668,432.60498,449.08171,431.00828,2.83%,
BTC,5/1/14,454.55666,444.85668,455.43,432.97666,2.18%,
BTC,5/2/14,453.59833,454.55666,459.42666,447.27006,-0.21%,
BTC,5/3/14,441.97833,453.59833,453.59833,439.90333,-2.56%,
BTC,5/4/14,438.29035,441.97833,443.36661,428.51808,-0.83%,
BTC,5/5/14,432.78748,438.29035,438.44883,428.51836,-1.26%,
BTC,5/6/14,418.61831,432.78748,434.35831,418.55791,-3.27%,
BTC,5/7/14,428.42593,418.61831,431.33331,418.01666,2.34%,
BTC,5/8/14,442.57666,428.42593,446.35999,423.11181,3.30%,
BTC,5/9/14,439.04,442.57666,445.01666,434.30833,-0.80%,
BTC,5/10/14,449.04333,439.04,451.24499,438.06666,2.28%,
BTC,5/11/14,449.74166,449.04333,453.54333,446.21333,0.16%,
BTC,5/12/14,434.27,449.74166,450.04166,430.33333,-3.44%,
BTC,5/13/14,437,434.27,440.21333,431.515,0.63%,
BTC,5/14/14,438.88,437,439.51833,433.13333,0.43%,
BTC,5/15/14,445.045,438.88,445.89666,438.88,1.40%,
BTC,5/16/14,443.18,445.045,447.74499,441.73333,-0.42%,
BTC,5/17/14,445.60666,443.18,447.15166,442.29,0.55%,
BTC,5/18/14,445.15666,445.60666,446.48,443.78166,-0.10%,
BTC,5/19/14,444.73833,445.15666,446.18166,442.35,-0.09%,
BTC,5/20/14,455.65333,444.73833,458.23333,442.05333,2.45%,
BTC,5/21/14,489.86999,455.65333,494.21,450.16333,7.51%,
BTC,5/22/14,490.18666,489.86999,494.46166,487.63,0.06%,
BTC,5/23/14,522.31,490.18666,535.09,487.815,6.55%,
BTC,5/24/14,512.30833,522.31,543.095,511.97333,-1.91%,
BTC,5/25/14,533.92999,512.30833,535.725,511.69833,4.22%,
BTC,5/26/14,579.59333,533.92999,589.945,533.13,8.55%,
BTC,5/27/14,581.51,579.59333,589.78166,575.84,0.33%,
BTC,5/28/14,572.44833,581.51,591.24166,549.62,-1.56%,
BTC,5/29/14,562.4,572.44833,576.55666,560.415,-1.76%,
BTC,5/30/14,571.845,562.4,573.27,556.28166,1.68%,
BTC,5/31/14,612.12666,571.845,622.50666,566.69666,7.04%,
BTC,6/1/14,638.16333,612.12666,638.94666,610.82499,4.25%,
BTC,6/2/14,634.98333,638.16333,676.60333,620.585,-0.50%,
BTC,6/3/14,660.24666,634.98333,667.19333,610.99333,3.98%,
BTC,6/4/14,627.79833,660.24666,675.73833,617.78666,-4.91%,
BTC,6/5/14,642.89166,627.79833,650.76333,624.965,2.40%,
BTC,6/6/14,652.52666,642.89166,664.97833,639.42833,1.50%,
BTC,6/7/14,648.60166,652.52666,657.94166,635.85166,-0.60%,
BTC,6/8/14,652.59166,648.60166,656.84666,646.63166,0.62%,
BTC,6/9/14,652.11,652.59166,655.015,649.41333,-0.07%,
BTC,6/10/14,644.085,652.11,653.34666,637.57833,-1.23%,
BTC,6/11/14,642.00666,644.085,657.97,640.465,-0.32%,
BTC,6/12/14,632.55,642.00666,646.385,624.16166,-1.47%,
BTC,6/13/14,585.48333,632.55,633.66166,562.59,-7.44%,
BTC,6/14/14,588.52333,585.48333,613.465,584.635,0.52%,
BTC,6/15/14,570.28833,588.52333,590.76166,541.19333,-3.10%,
BTC,6/16/14,589.06666,570.28833,593.54833,551.31,3.29%,
BTC,6/17/14,592.25666,589.06666,606.82166,585.685,0.54%,
BTC,6/18/14,610.41333,592.25666,613.99166,590.18833,3.07%,
BTC,6/19/14,601.88666,610.41333,612.85666,599.72333,-1.40%,
BTC,6/20/14,594.09333,601.88666,605.93833,590.16999,-1.29%,
BTC,6/21/14,582.04499,594.09333,595.21666,581.18833,-2.03%,
BTC,6/22/14,599.57,582.04499,603.205,581.68666,3.01%,
BTC,6/23/14,592.405,599.57,602.82833,591.495,-1.20%,
BTC,6/24/14,584.64166,592.405,593.255,580.84,-1.31%,
BTC,6/25/14,575.905,584.64166,588.78,570.47166,-1.49%,
BTC,6/26/14,571.76666,575.905,576.03166,558.58333,-0.72%,
BTC,6/27/14,582.43166,571.76666,584.16333,565.91833,1.87%,
BTC,6/28/14,597.66833,582.43166,600.72,576.24833,2.62%,
BTC,6/29/14,598.73333,597.66833,604.33833,591.205,0.18%,
BTC,6/30/14,597.51333,598.73333,600.54166,588.98,-0.20%,
BTC,7/1/14,647.12249,597.51333,647.12249,597.04499,8.30%,
BTC,7/2/14,637.85625,647.12249,654.76874,627.77125,-1.43%,
BTC,7/3/14,642.65125,637.85625,653.65875,635.17999,0.75%,
BTC,7/4/14,643.95124,642.65125,646.88375,635.26625,0.20%,
BTC,7/5/14,628.41625,643.95124,644.18125,625.80125,-2.41%,
BTC,7/6/14,631.03,628.41625,635.89874,624.50125,0.42%,
BTC,7/7/14,631.29875,631.03,632.575,627.43125,0.04%,
BTC,7/8/14,621.24249,631.29875,633.0625,612.2625,-1.59%,
BTC,7/9/14,620.72,621.24249,621.74749,616.19625,-0.08%,
BTC,7/10/14,621.3075,620.72,624.01,616.165,0.09%,
BTC,7/11/14,616.83124,621.3075,621.4675,609.4275,-0.72%,
BTC,7/12/14,634.35749,616.83124,636.61875,613.94875,2.84%,
BTC,7/13/14,627.69,634.35749,635.04625,625.99249,-1.05%,
BTC,7/14/14,621.42499,627.69,634.12,621.28,-1.00%,
BTC,7/15/14,618.73875,621.42499,623.24749,615.9775,-0.43%,
BTC,7/16/14,619.8075,618.73875,622.46124,617.84124,0.17%,
BTC,7/17/14,614.68875,619.8075,620.45,612.87625,-0.83%,
BTC,7/18/14,623.49749,614.68875,627.04625,611.75,1.43%,
BTC,7/19/14,623.99625,623.49749,628.54499,616.475,0.08%,
BTC,7/20/14,623.00625,623.99625,626.80875,621.365,-0.16%,
BTC,7/21/14,617.96124,623.00625,623.97375,617.38375,-0.81%,
BTC,7/22/14,622.10749,617.96124,622.20624,616.73375,0.67%,
BTC,7/23/14,618.4475,622.10749,622.49125,617.945,-0.59%,
BTC,7/24/14,617.6875,618.4475,619.92375,616.93375,-0.12%,
BTC,7/25/14,602.93125,617.6875,618.26374,591.455,-2.39%,
BTC,7/26/14,597.585,602.93125,605.98125,593.5875,-0.89%,
BTC,7/27/14,592.96375,597.585,598.15625,590.17625,-0.77%,
BTC,7/28/14,580.11,592.96375,595.87875,579.15125,-2.17%,
BTC,7/29/14,585.44875,580.11,622.93125,511.66375,0.92%,
BTC,7/30/14,580.5175,585.44875,586.625,577.58124,-0.84%,
BTC,7/31/14,564.57,580.5175,581.28125,559.62249,-2.75%,
BTC,8/1/14,583.39,564.57,587.96,564.57,3.33%,
BTC,8/2/14,593.80625,583.39,601.835,582.61,1.79%,
BTC,8/3/14,581.52,593.80625,594.16875,580.22625,-2.07%,
BTC,8/4/14,585.80125,581.52,588.20375,578.20875,0.74%,
BTC,8/5/14,582.33375,585.80125,592.83624,581.84375,-0.59%,
BTC,8/6/14,582.52125,582.33375,586.70875,579.83624,0.03%,
BTC,8/7/14,583.62375,582.52125,586.8775,578.80125,0.19%,
BTC,8/8/14,595.80875,583.62375,598.76874,581.7175,2.09%,
BTC,8/9/14,585.39625,595.80875,596.385,585.23125,-1.75%,
BTC,8/10/14,586.05875,585.39625,588.99749,584.89,0.11%,
BTC,8/11/14,588.7525,586.05875,593.6975,585.695,0.46%,
BTC,8/12/14,566.31625,588.7525,588.7525,564.91999,-3.81%,
BTC,8/13/14,565.55125,566.31625,573.31375,562.8375,-0.14%,
BTC,8/14/14,534.54,565.55125,565.73,524.33,-5.48%,
BTC,8/15/14,511.4725,534.54,534.57875,495.26,-4.32%,
BTC,8/16/14,487.56625,511.4725,515.36,483.475,-4.67%,
BTC,8/17/14,516.62625,487.56625,522.19,484.215,5.96%,
BTC,8/18/14,489.4675,516.62625,516.95375,482.85875,-5.26%,
BTC,8/19/14,455.91625,489.4675,491.965,435.59875,-6.85%,
BTC,8/20/14,472.91,455.91625,488.52625,455.83375,3.73%,
BTC,8/21/14,519.015,472.91,532.7675,464.39625,9.75%,
BTC,8/22/14,508.12875,519.015,526.78625,506.63625,-2.10%,
BTC,8/23/14,507.51,508.12875,522.19375,500.03625,-0.12%,
BTC,8/24/14,501.63125,507.51,509.285,490.61,-1.16%,
BTC,8/25/14,503.32125,501.63125,513.375,496.2525,0.34%,
BTC,8/26/14,504.62625,503.32125,506.19875,497.67625,0.26%,
BTC,8/27/14,513.39125,504.62625,514.85375,503.22625,1.74%,
BTC,8/28/14,514.62375,513.39125,521.34875,509.58875,0.24%,
BTC,8/29/14,506.025,514.62375,515.78375,505.46125,-1.67%,
BTC,8/30/14,504.70625,506.025,512.28,502.4225,-0.26%,
BTC,8/31/14,502.055,504.70625,505.585,499.49875,-0.53%,
BTC,9/1/14,474.5425,502.055,502.54375,474.09125,-5.48%,
BTC,9/2/14,477.98375,474.5425,485.94,471.12375,0.73%,
BTC,9/3/14,476.88375,477.98375,483.305,470.88375,-0.23%,
BTC,9/4/14,475.65,476.88375,479.59875,473.87875,-0.26%,
BTC,9/5/14,485.65125,475.65,494.03625,475.10375,2.10%,
BTC,9/6/14,480.9075,485.65125,489.5875,478.82625,-0.98%,
BTC,9/7/14,481.88375,480.9075,484.8225,479.78,0.20%,
BTC,9/8/14,473.58625,481.88375,485.37,471.99875,-1.72%,
BTC,9/9/14,468.5775,473.58625,478.3925,464.52,-1.06%,
BTC,9/10/14,474.29125,468.5775,478.03375,464.65625,1.22%,
BTC,9/11/14,479.4175,474.29125,487.20625,474.29125,1.08%,
BTC,9/12/14,473.6725,479.4175,480.3975,471.16625,-1.20%,
BTC,9/13/14,471.5325,473.6725,476.02125,467.1125,-0.45%,
BTC,9/14/14,475.37875,471.5325,479.2275,470.97125,0.82%,
BTC,9/15/14,475.02125,475.37875,477.78375,473.335,-0.08%,
BTC,9/16/14,471.08375,475.02125,476.43625,468.3875,-0.83%,
BTC,9/17/14,464.55375,471.08375,472.42125,461.65625,-1.39%,
BTC,9/18/14,449.95875,464.55375,465.32375,446.705,-3.14%,
BTC,9/19/14,425.4475,449.95875,451.36625,405.18375,-5.45%,
BTC,9/20/14,410.08,425.4475,426.48125,380.745,-3.61%,
BTC,9/21/14,405.79625,410.08,422.99125,401.93375,-1.04%,
BTC,9/22/14,399.0975,405.79625,405.79625,390.7875,-1.65%,
BTC,9/23/14,399.5025,399.0975,405.245,394.59125,0.10%,
BTC,9/24/14,427.8125,399.5025,443.6875,391.45625,7.09%,
BTC,9/25/14,416.12,427.8125,431.79,412.89875,-2.73%,
BTC,9/26/14,410.15,416.12,418.56,406.60125,-1.43%,
BTC,9/27/14,403.4975,410.15,411.04,396.04375,-1.62%,
BTC,9/28/14,398.84,403.4975,405.205,394.14,-1.15%,
BTC,9/29/14,377.97875,398.84,398.8675,370.05625,-5.23%,
BTC,9/30/14,376.08375,377.97875,385.71375,369.125,-0.50%,
BTC,10/1/14,387.94,376.08375,393.98,373.77625,3.15%,
BTC,10/2/14,381.7475,387.94,390.35375,377.6,-1.60%,
BTC,10/3/14,372.0575,381.7475,382.77125,369.24875,-2.54%,
BTC,10/4/14,360.7525,372.0575,374.555,353.80125,-3.04%,
BTC,10/5/14,335.98125,360.7525,362.13,321.86375,-6.87%,
BTC,10/6/14,308.07875,335.98125,337.22375,286.36874,-8.30%,
BTC,10/7/14,337.23375,308.07875,343.51,304.6875,9.46%,
BTC,10/8/14,326.2325,337.23375,338.76,316.71749,-3.26%,
BTC,10/9/14,351.34625,326.2325,355.73875,325.51375,7.70%,
BTC,10/10/14,368.59625,351.34625,382.66625,347.19,4.91%,
BTC,10/11/14,359.2025,368.59625,374.90375,351.54,-2.55%,
BTC,10/12/14,356.99875,359.2025,363.73375,350.48625,-0.61%,
BTC,10/13/14,371.15625,356.99875,377.92125,352.45375,3.97%,
BTC,10/14/14,392.7825,371.15625,394.5675,366.7275,5.83%,
BTC,10/15/14,396.34625,392.7825,409.73375,390.89375,0.91%,
BTC,10/16/14,392.56625,396.34625,397.48375,386.385,-0.95%,
BTC,10/17/14,376.26875,392.56625,393.36375,369.29375,-4.15%,
BTC,10/18/14,378.675,376.26875,382.7,371.83375,0.64%,
BTC,10/19/14,390.95875,378.675,392.87125,376.21125,3.24%,
BTC,10/20/14,381.72375,390.95875,391.365,381.72375,-2.36%,
BTC,10/21/14,380.0575,381.72375,383.8175,377.025,-0.44%,
BTC,10/22/14,382.93875,380.0575,388.965,377.90937,0.76%,
BTC,10/23/14,376.59,382.93875,383.8075,376.59,-1.66%,
